GroupName,G_Description,G_DisplayName,G_MailEnabled,G_SecurityEnabled,Username,Password,DisplayName,AccountEnabled,UserType,,
#Configure users and groups in Azure AD,,,,,,,,,,,
# Use this sheet to define users and groups for Azure AD,,,,,,,,,,,
# If the row starts with '#' it will be ignored by the script,,,,,,,,,,,
# For specific settings - See Definition below,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
QA Group | Test Group,QA Team | Test Team,QA Group | Test Team,No|No,Yes|Yes,QA12017@HPEAcademyCom.onmicrosoft.com,MASP@ssw0rd!,QA Don,Yes,Member,,
,,,,,,,,,,,
MKT Group,MKT Team ,MKT Group,No|No,Yes|Yes,MKT12017@HPEAcademyCom.onmicrosoft.com,MASP@ssw0rd!,MKT Chris,Yes,Member,,
,,,,,,,,,,,
,,,,,QADP@HPEAcademyCom.onmicrosoft.com,MASP@ssw0rd!,QA Delegated Provider,Yes,Member,,
,,,,,,,,,,,
,,,,,MKTDP@HPEAcademyCom.onmicrosoft.com,MASP@ssw0rd!,MKT Delegated Provider,Yes,Member,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
